place_id,place_name,review_id_hash,rating,review_text,published_at,published_at_date,response_from_owner_text,response_from_owner_ago,response_from_owner_date,review_likes_count,total_number_of_reviews_by_reviewer,total_number_of_photos_by_reviewer,is_local_guide,review_translated_text,response_from_owner_translated_text,hours_ago,actual_date,année
ChIJxaeGNnGE5kcRNtseod9PBfA,Auchan Supermarche Trappes,c5a9ec939ab69b184bc080eba3a0b38f,3,"Bon Auchan, quoi que relativement petit",il y a 3 semaines,,"Bonjour M Lebourdais, Nous vous remercions de nous avoir attribue vos 3 etoiles et votre compliment Toute notre equipe vous souhaite une tres belle journee Au plaisir de vous revoir",il y a 3 semaines,,0,39.0,,True,,,504,2024-04-13 21:59:41.551227,2024
ChIJxaeGNnGE5kcRNtseod9PBfA,Auchan Supermarche Trappes,cfde1fcc90bc262da27f6bc4dca2f847,5,,il y a 3 semaines,,,,,0,3.0,,False,,,504,2024-04-13 21:59:41.551227,2024
ChIJxaeGNnGE5kcRNtseod9PBfA,Auchan Supermarche Trappes,23fff125d0e5ab83ecc1c767906f0ac1,5,,il y a 4 semaines,,,,,0,42.0,,True,,,672,2024-04-06 21:59:41.551227,2024
ChIJxaeGNnGE5kcRNtseod9PBfA,Auchan Supermarche Trappes,99e241eb7e16a1bfc66850b1a9ed4d40,5,,il y a 4 semaines,,,,,0,11.0,,True,,,672,2024-04-06 21:59:41.551227,2024
ChIJxaeGNnGE5kcRNtseod9PBfA,Auchan Supermarche Trappes,710758fac21e51355ed6f08cb7034e06,5,Rien de particulier,il y a un mois,,"Bonjour Mme Girardin, Toute notre equipe vous remercie pour vos 5 etoiles. Cela nous fait extremement plaisir !! A bientot",il y a 3 semaines,,0,58.0,,True,,,730,2024-04-04 11:59:41.551227,2024
ChIJxaeGNnGE5kcRNtseod9PBfA,Auchan Supermarche Trappes,6d4b0944a3a6e010e73b0ac596ab36b4,5,Je note seulement le Carburant pas cher,il y a un mois,,"Bonjour M Gandolfini, Nous tenons a vous remercier pour vos 5 etoiles et votre commentaire Votre retour nous fait tres plaisir ! Toute notre equipe vous souhaite une tres belle journee",il y a 3 semaines,,0,188.0,28.0,False,,,730,2024-04-04 11:59:41.551227,2024
ChIJxaeGNnGE5kcRNtseod9PBfA,Auchan Supermarche Trappes,c238039192bea53bcb9baaa667089a36,3,Je retire une etoile pour plusieurs raisons : - Trop souvent de controles aleatoires aux caisses automatiques et oblige de scanner pour ouvrir la barriere (sans compter que le systeme marche mal)  voulez-vous pousser les gens a revenir aux caisses normales ? - Des ravitaillements problematiques sur certains produits. Le pire exemple est l absence de riz Bens depuis au moins 6 mois !,il y a un mois,,"Bonjour M NO NO, Nous vous remercions davoir pris le temps de nous laisser votre avis et vos 3 etoiles. Nous sommes navres de constater que votre passage aux caisses automatiques vous ait decu. Concernant la rupture de riz Bens depuis quelque temps, cela provient dun probleme de reapprovisionnement de lentrepot. Toute notre equipe vous souhaite une tres belle journee A bientot !",il y a 3 semaines,,0,21.0,,False,,,730,2024-04-04 11:59:41.551227,2024
ChIJxaeGNnGE5kcRNtseod9PBfA,Auchan Supermarche Trappes,4ecea8bc9c79e728a351ce2a37ab7cd2,4,,il y a un mois,,,,,0,26.0,23.0,False,,,730,2024-04-04 11:59:41.551227,2024
ChIJxaeGNnGE5kcRNtseod9PBfA,Auchan Supermarche Trappes,b686505e0a271c659c54208c9f40c3a8,5,"Beau magasin, pratique et proche.",il y a un mois,,"Bonjour, Nous vous remercions pour votre commentaire et votre superbe note. Nous vous souhaitons une tres belle journee A bientot ! Selim, Manager Frais",il y a un mois,,0,5.0,,False,,,730,2024-04-04 11:59:41.551227,2024
ChIJxaeGNnGE5kcRNtseod9PBfA,Auchan Supermarche Trappes,8938193992a05780aa15a4dc0719a956,1,,il y a un mois,,,,,0,17.0,48.0,True,,,730,2024-04-04 11:59:41.551227,2024
