place_id,name,main_category,rating,reviews,address,link,categories,description,Grande Categorie,latitude,longitude
ChIJeVdrjf6D5kcR9cEXTpoId0o,Eglise Saint-Georges de Trappes,Eglise catholique,4.5,142.0,"Eglise Saint-Georges de Trappes, 23 Rue de Montfort, 78190 Trappes",https://www.google.com/maps/place/%C3%89glise+Saint-Georges+de+Trappes/data=!4m7!3m6!1s0x47e683fe8d6b5779:0x4a77089a4e17c1f5!8m2!3d48.7780939!4d1.9997739!16s%2Fg%2F122dl_wy!19sChIJeVdrjf6D5kcR9cEXTpoId0o?authuser=0&hl=fr&rclk=1,Eglise catholique,Eglise Saint-Georges de Trappes Eglise catholique Eglise catholique,Culture,48.77809389999999,1.9997739
ChIJf1v-C_iD5kcRyidLC_VRe70,Stade Gilbert Chansac,Complexe sportif,4.2,107.0,"Stade Gilbert Chansac, Ile de Loisirs - Golf, 92 Rue de Montfort, 78190 Trappes",https://www.google.com/maps/place/Stade+Gilbert+Chansac/data=!4m7!3m6!1s0x47e683f80bfe5b7f:0xbd7b51f50b4b27ca!8m2!3d48.7820786!4d1.9933419!16s%2Fg%2F11c1xdjf08!19sChIJf1v-C_iD5kcRyidLC_VRe70?authuser=0&hl=fr&rclk=1,Complexe sportif,Stade Gilbert Chansac Complexe sportif Complexe sportif,Sport et loisir,48.7820786,1.9933419
ChIJn23ga32D5kcRQ8SIJS4EaKc,Exotique Center,Magasin,5.0,103.0,"Exotique Center, 15 Av. Maryse Bastie, 78190 Trappes",https://www.google.com/maps/place/Exotique+Center/data=!4m7!3m6!1s0x47e6837d6be06d9f:0xa768042e2588c443!8m2!3d48.7798772!4d1.9878813!16s%2Fg%2F11qqfcjwq9!19sChIJn23ga32D5kcRQ8SIJS4EaKc?authuser=0&hl=fr&rclk=1,"Magasin, Epicerie fine, Service de transfert d'argent","Exotique Center Magasin Magasin, Epicerie fine, Service de transfert d'argent",Commerce et Restauration,48.77987719999999,1.9878813
ChIJR7-f_oqD5kcR5BhTJnGPLx0,Gymnase Broustal,Complexe sportif,4.4,95.0,"Gymnase Broustal, 6 Av. Ludwig Van Beethoven, 78190 Trappes","https://www.google.com/maps/place/Gymnase+Broustal/@48.7828298,1.9788212,17z/data=!3m1!4b1!4m6!3m5!1s0x47e6838afe9fbf47:0x1d2f8f71265318e4!8m2!3d48.7828298!4d1.9788212!16s%2Fg%2F1hc2ql3l_?authuser=0&hl=fr&entry=ttu","Complexe sportif, Salle de gym","Gymnase Broustal Complexe sportif Complexe sportif, Salle de gym",Sport et loisir,48.7828298,1.9788212
ChIJLx9BPcKB5kcRExGjHiNb5BM,Centre Medico-Dentaire de Trappes,Dentiste,4.2,93.0,"Centre Medico-Dentaire de Trappes, 65 Av. Paul Vaillant-Couturier, 78190 Trappes",https://www.google.com/maps/place/Centre+M%C3%A9dico-Dentaire+de+Trappes/data=!4m7!3m6!1s0x47e681c23d411f2f:0x13e45b231ea31113!8m2!3d48.7770772!4d2.0046488!16s%2Fg%2F11rc6xplcf!19sChIJLx9BPcKB5kcRExGjHiNb5BM?authuser=0&hl=fr&rclk=1,"Dentiste, Cabinet dentaire, Cabinet medical","Centre Medico-Dentaire de Trappes Dentiste Dentiste, Cabinet dentaire, Cabinet medical",Sante,48.7770772,2.0046488
ChIJ3x4t8KqD5kcRJ0nkwefMghw,RENARD JEAN ELAGAGE ELAGUEUR PERE & FILS grimpeur paysagiste entretien parcs et jardins 78/92/,Service d'elagage,5.0,93.0,"RENARD JEAN ELAGAGE ELAGUEUR PERE & FILS grimpeur paysagiste entretien parcs et jardins 78/92/, 6 Av. Hector Berlioz, 78190 Trappes",https://www.google.com/maps/place/RENARD+JEAN+ELAGAGE+%C3%89LAGUEUR+P%C3%89RE+%26+FILS+grimpeur+paysagiste+entretien+parcs+et+jardins+78%2F92%2F/data=!4m7!3m6!1s0x47e683aaf02d1edf:0x1c82cce7c1e44927!8m2!3d48.7796805!4d1.9841839!16s%2Fg%2F11h8fhr3yt!19sChIJ3x4t8KqD5kcRJ0nkwefMghw?authuser=0&hl=fr&rclk=1,"Service d'elagage, Jardinier, Paysagiste","RENARD JEAN ELAGAGE ELAGUEUR PERE & FILS grimpeur paysagiste entretien parcs et jardins 78/92/ Service d'elagage Service d'elagage, Jardinier, Paysagiste","Services Publics, Administration",48.7796805,1.9841839
ChIJde7kzAmE5kcRpaE5NWkOMn8,Gymnase Jean Guimier,Complexe sportif,4.1,88.0,"Gymnase Jean Guimier, 10 Av. Eugene Delacroix, 78190 Trappes","https://www.google.com/maps/place/Gymnase+Jean+Guimier/@48.7818165,1.9923176,17z/data=!3m1!4b1!4m6!3m5!1s0x47e68409cce4ee75:0x7f320e693539a1a5!8m2!3d48.7818165!4d1.9923176!16s%2Fg%2F1hc59fhdn?authuser=0&hl=fr&entry=ttu","Complexe sportif, Salle de gym","Gymnase Jean Guimier Complexe sportif Complexe sportif, Salle de gym",Sport et loisir,48.7818165,1.9923176
ChIJCcxc4VaB5kcR-ClsaKim3dk,Trappes,Service publique de transport gare,3.1,78.0,"Trappes, 78190 Trappes","https://www.google.com/maps/place/Trappes/@48.7749338,2.0063971,17z/data=!3m1!4b1!4m6!3m5!1s0x47e68156e15ccc09:0xd9dda6a8686c29f8!8m2!3d48.7749338!4d2.0063971!16s%2Fg%2F122c64k3?authuser=0&hl=fr&entry=ttu",Gare,Trappes Service publique de transport gare Gare,"Services Publics, Administration",48.7772276,1.9973063
ChIJ5b7mW1aB5kcREeuB0jCBC34,Librairie le Mille Feuilles,Librairie,4.7,68.0,"Librairie le Mille Feuilles, 23 Rue Pierre Semard, 78190 Trappes",https://www.google.com/maps/place/Librairie+le+Mille+Feuilles/data=!4m7!3m6!1s0x47e681565be6bee5:0x7e0b8130d281eb11!8m2!3d48.7754259!4d2.0051671!16s%2Fg%2F11f_c09ct8!19sChIJ5b7mW1aB5kcREeuB0jCBC34?authuser=0&hl=fr&rclk=1,Librairie,Librairie le Mille Feuilles Librairie Librairie,Culture,48.77542589999999,2.0051671
ChIJQfRZsIWD5kcRLl2eqRFMTS0,Gossip Fit,Salle de fitness,4.4,66.0,"Gossip Fit, 26 Av. des Freres Lumiere, 78190 Trappes",https://www.google.com/maps/place/Gossip+Fit/data=!4m7!3m6!1s0x47e68385b059f441:0x2d4d4c11a99e5d2e!8m2!3d48.7612447!4d1.9929368!16s%2Fg%2F11ghnpynb8!19sChIJQfRZsIWD5kcRLl2eqRFMTS0?authuser=0&hl=fr&rclk=1,Salle de fitness,Gossip Fit Salle de fitness Salle de fitness,Sport et loisir,48.7612447,1.9929368
